mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
08blocks.mtx,300,300,592,0.021465,0.046817,0.037313,0.042065,0.223028,0.019985,0.019233,0.019172
1138_bus.mtx,1138,1138,4054,0.018792,0.045681,0.039457,0.03316,0.223713,0.017704,0.017095,0.017103
12month1.mtx,12471,872622,22624727,20.507779,450.946959,443.913342,31.963589,16.409318,17.300648,14.921579,14.798859
130bit.mtx,584,575,6120,0.018367,0.039049,0.037361,0.220163,0.03168,0.017011,0.016346,0.016354
145bit.mtx,1002,993,11315,0.018392,0.040011,0.037897,0.038737,0.032976,0.017053,0.01648,0.016404
162bit.mtx,3606,3597,37118,0.020258,0.045593,0.042665,0.039701,0.036224,0.018544,0.01824,0.018021
176bit.mtx,7441,7431,82270,,0.049945,0.225456,0.043544,0.045826,0.02145,0.021137,0.02108
192bit.mtx,13691,13682,154303,0.219514,0.065708,0.062689,0.048913,0.063585,0.220679,0.027209,0.027508
208bit.mtx,24430,24421,299756,0.038857,0.223757,0.223373,,0.223315,0.037622,,0.22005
2cubes_sphere.mtx,101492,101492,1647264,0.219875,0.285532,0.290564,0.222907,0.364637,0.223826,0.220004,0.219221
2D_27628_bjtcai.mtx,27628,27628,442898,0.056107,0.105584,0.226452,0.22247,0.223896,0.225644,0.227958,0.225193
2D_54019_highK.mtx,54019,54019,996414,0.401862,0.22706,0.226572,0.2609,0.240491,0.364257,0.292874,0.295996
333SP.mtx,3712815,3712815,22217266,2.771683,5.75196,5.478828,3.101983,6.111366,2.998029,3.059863,3.068688
3D_28984_Tetra.mtx,28984,28984,599170,1.019215,0.226059,0.129218,0.27854,0.225915,0.809268,0.636358,0.636845
3D_51448_3D.mtx,51448,51448,1056610,1.53207,0.227549,0.227875,0.328325,0.253621,1.270278,1.008933,1.006727
3Dspectralwave2.mtx,292008,292008,14322744,0.994967,2.800683,2.85394,1.218571,3.972921,1.012477,0.986521,1.173809
3Dspectralwave.mtx,680943,680943,33650589,2.375765,6.725384,6.829466,2.85674,9.337289,2.512605,2.393507,2.432332
3dtube.mtx,45330,45330,3213618,0.730107,1.068392,1.094366,0.250868,0.876274,0.631124,0.522654,0.52041
3elt_dual.mtx,9000,9000,26556,0.019737,0.052641,0.225563,0.034013,0.039947,0.01878,0.01857,0.018747
3elt.mtx,4720,4720,27444,0.018661,0.047433,0.043481,,0.036816,0.017676,0.017387,0.017538
494_bus.mtx,494,494,1666,0.017381,0.044376,0.038983,0.032824,0.223567,0.016236,0.015975,0.016009
598a.mtx,110971,110971,1483868,0.220634,0.299916,0.28711,0.223699,0.359508,0.453038,0.453554,0.460569
662_bus.mtx,662,662,2474,0.017617,0.04456,0.038636,0.032059,0.034176,0.016547,0.015958,0.015966
685_bus.mtx,685,685,3249,0.017777,0.043176,0.038518,0.033146,0.22348,0.016539,0.016336,0.01611
a0nsdsil.mtx,80016,80016,355034,1.431493,0.730053,0.735387,0.222899,0.22533,1.445732,1.198633,1.205833
a2nnsnsl.mtx,80016,80016,347222,1.4127,0.694597,0.688066,0.223347,0.224928,1.45146,1.191776,1.189007
a5esindl.mtx,60008,60008,255004,2.61663,1.533723,1.566743,0.250572,0.218763,2.45385,1.900997,1.902133
aa01.mtx,823,8904,72965,0.098906,0.062705,0.063504,0.191501,0.222552,0.088984,0.220918,0.081065
aa03.mtx,825,8627,70806,0.11861,0.065249,0.065505,0.227075,0.222186,0.106802,0.09473,0.094978
aa3.mtx,825,8627,70806,0.118746,0.064131,0.063697,0.227083,0.066049,0.107073,0.094917,0.094913
aa4.mtx,426,7195,52121,0.110153,0.062697,0.223006,0.241515,0.057521,0.097658,0.220294,0.090697
aa5.mtx,801,8308,65953,0.096264,0.062537,0.222871,0.234587,0.221763,0.21779,,0.217706
aa6.mtx,646,7292,51728,0.217523,0.065673,0.065289,0.187019,0.221898,0.21846,0.076097,0.075953
ABACUS_shell_hd.mtx,23412,23412,218484,0.219499,0.22339,0.22355,0.057761,0.223757,0.220851,0.221717,0.034009
ABACUS_shell_ld.mtx,23412,23412,218484,0.219629,0.081054,0.071297,0.057629,0.074361,0.219928,0.220789,0.034129
ABACUS_shell_md.mtx,23412,23412,218484,0.219371,0.223843,0.223623,0.057624,0.223619,0.034071,0.219643,0.034217
ABACUS_shell_ud.mtx,23412,23412,218484,0.220539,0.22626,0.225713,0.057587,0.225976,0.220515,0.219172,0.03415
abb313.mtx,313,176,1557,0.016615,0.222927,0.036898,0.02928,0.032016,0.015301,0.014871,0.014981
abtaha1.mtx,14596,209,51307,0.21981,0.049857,0.226101,0.036353,0.225646,0.222018,0.220091,0.219901
abtaha2.mtx,37932,331,137228,0.221883,0.228032,0.227917,0.046585,0.226945,0.220748,0.220076,0.031969
adaptive.mtx,6815744,6815744,27248640,3.725493,8.19351,10.598801,4.06761,8.013491,3.800965,4.092218,4.039033
add20.mtx,2395,2395,17319,0.040288,0.047393,0.042152,0.073137,0.043216,0.034914,0.033385,0.033481
add32.mtx,4960,4960,23884,0.022217,0.048656,0.043744,0.040601,0.038769,0.020358,0.020187,0.227658
adder_dcop_01.mtx,1813,1813,11156,0.275275,0.100481,0.224148,0.066081,0.054641,0.236115,0.217027,0.207083
adder_dcop_02.mtx,1813,1813,11246,0.275644,0.102425,0.09891,0.221963,0.054793,0.236132,0.202644,0.202555
adder_dcop_03.mtx,1813,1813,11148,0.275619,0.094697,0.095175,0.221667,0.054662,0.236388,0.20354,0.202659
