mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
n2c6-b10.mtx,30,306,330,0.0196449,0.0651528,0.0620486,0.0318936,0.0369927,0.0299366,0.0296807,0.0300329
n2c6-b1.mtx,105,15,210,0.0180486,0.07749,0.075058,0.0251047,0.037217,0.0213445,0.0211383,0.0212626
n2c6-b2.mtx,455,105,1365,0.0202562,0.0988337,0.0580491,0.0264166,0.0412484,0.0226245,0.0223472,0.0225077
n2c6-b3.mtx,1365,455,5460,0.0268642,0.0684167,0.0690568,0.0289922,0.0549283,0.0236164,0.0237605,0.0236004
n2c6-b4.mtx,3003,1365,15015,0.0417445,0.081873,0.0744329,0.0347044,0.084801,0.0282312,0.0280179,0.028087
n2c6-b5.mtx,4945,3003,29670,0.0544482,0.0932962,0.0843414,0.0449302,0.137767,0.0376965,0.0368484,0.036928
n2c6-b6.mtx,5715,4945,40005,0.0618249,0.0972334,0.0934735,0.0497556,0.177507,0.044481,0.0436646,0.0428166
n2c6-b7.mtx,3990,5715,31920,0.0485287,0.0799851,0.080897,0.0469446,0.140258,0.0348485,0.0355044,0.0361446
n2c6-b8.mtx,1470,3990,13230,0.0291042,0.0680647,0.0661447,0.033184,0.079969,0.030752,0.0303197,0.0302054
n2c6-b9.mtx,306,1470,3060,0.020338,0.0635843,0.0627043,0.0304642,0.0408003,0.0302723,0.0296642,0.0298242
n3c4-b1.mtx,15,6,30,0.020023,0.0639523,0.0587204,0.0243682,0.0248162,0.0201762,0.0201441,0.0199361
n3c4-b2.mtx,20,15,60,0.0186491,0.0823047,0.054534,0.0260032,0.0285535,0.0209763,0.0210721,0.0211363
n3c4-b3.mtx,15,20,60,0.0198404,0.0542246,0.0606086,0.025264,0.0262081,0.0214563,0.0213602,0.0213336
n3c4-b4.mtx,6,15,30,0.0205444,0.0493448,0.0518567,0.0258401,0.0255368,0.0221603,0.0220163,0.0217125
n3c5-b1.mtx,45,10,90,0.0179362,0.070705,0.0732172,0.0253604,0.0302244,0.0211203,0.0211362,0.0208892
n3c5-b2.mtx,120,45,360,0.0178847,0.0975215,0.0558728,0.0254722,0.0382407,0.0217603,0.0214859,0.0218724
n3c5-b3.mtx,210,120,840,0.0182934,0.0604808,0.066737,0.0262566,0.0382885,0.0221902,0.022352,0.0222086
n3c5-b4.mtx,252,210,1260,0.0183823,0.076737,0.064673,0.026848,0.0391526,0.023024,0.0228961,0.022816
n3c5-b5.mtx,210,252,1260,0.0187842,0.070273,0.0628809,0.027265,0.038529,0.0233956,0.0234563,0.0234563
n3c5-b6.mtx,120,210,840,0.0185779,0.0676163,0.0537122,0.0279201,0.0377283,0.0239363,0.0238563,0.0238562
