mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
08blocks.mtx,300,300,592,0.022529,0.0818389,0.0525624,0.220879,0.0475542,0.0229948,0.0267213,0.0266412
1138_bus.mtx,1138,1138,4054,0.0196976,0.0730515,0.0584826,0.22129,0.0445539,0.0196047,0.021841,0.0218928
12month1.mtx,12471,872622,22624727,25.2627,251.672,251.844,21.0371,92.1671,20.1128,12.5536,12.5089
130bit.mtx,584,575,6120,0.0188551,0.0519452,0.0490252,0.037593,0.0393689,0.0195926,0.0211287,0.0210026
145bit.mtx,1002,993,11315,0.0196472,0.0509452,0.0500971,0.0386329,0.051777,0.0197071,0.0215079,0.0214486
162bit.mtx,3606,3597,37118,0.219226,0.0604974,0.0563213,0.041113,0.223676,0.221325,0.22044,0.220879
176bit.mtx,7441,7431,82270,0.0377609,,0.0692818,0.0526714,0.22393,0.0368197,0.0375529,0.220872
192bit.mtx,13691,13682,154303,0.220747,,0.223469,0.21898,0.298303,0.221547,0.220311,0.220107
208bit.mtx,24430,24421,299756,0.220877,0.226027,0.225916,0.223542,0.575761,0.221013,0.219695,0.218861
2cubes_sphere.mtx,101492,101492,1647264,0.418338,0.682746,0.687855,0.440507,2.71279,0.403898,0.413827,0.414402
2D_27628_bjtcai.mtx,27628,27628,442898,0.221354,0.224652,0.22674,0.221453,0.712941,0.219869,0.219748,0.221076
2D_54019_highK.mtx,54019,54019,996414,0.595571,0.411432,0.380655,0.322158,1.49063,0.468081,0.494473,0.494113
333SP.mtx,3712815,3712815,22217266,10.7162,18.7191,18.0885,9.41767,50.5017,9.81273,9.59942,9.59826
3D_28984_Tetra.mtx,28984,28984,599170,1.23631,0.264344,0.263176,0.264118,0.917918,0.872417,0.951052,0.949964
3D_51448_3D.mtx,51448,51448,1056610,1.91124,0.434946,0.43436,0.407178,1.53276,1.35658,1.48375,1.48365
3Dspectralwave2.mtx,292008,292008,14322744,3.11587,5.16338,5.17541,3.20824,28.7329,2.99985,2.94075,2.93944
3Dspectralwave.mtx,680943,680943,33650589,7.2909,12.1571,12.0649,7.67019,67.6704,7.04897,6.89687,6.89767
3dtube.mtx,45330,45330,3213618,0.887053,1.31465,1.353,0.498652,6.07031,0.877413,0.624126,0.62479
3elt_dual.mtx,9000,9000,26556,0.219509,0.224381,0.225138,0.0428098,0.105229,0.221232,0.221037,0.221344
3elt.mtx,4720,4720,27444,0.21924,0.0714551,0.0609791,0.0385103,0.223745,0.220795,0.220473,0.220508
494_bus.mtx,494,494,1666,0.0179559,0.0712776,0.0565773,0.220773,0.043241,0.0180635,0.0194004,0.0193365
598a.mtx,110971,110971,1483868,0.609718,0.85866,0.837307,0.625023,2.95111,0.633764,0.627381,0.627279
662_bus.mtx,662,662,2474,0.0184005,0.0718895,0.0567293,0.0317208,0.042729,0.018493,0.0195472,0.0196449
685_bus.mtx,685,685,3249,0.0184501,0.0669439,0.0554696,0.220881,0.0422278,0.018771,0.02022,0.0200997
a0nsdsil.mtx,80016,80016,355034,1.69605,0.67752,0.586982,0.389577,1.0123,1.863,2.72189,2.71949
a2nnsnsl.mtx,80016,80016,347222,1.70147,0.648391,0.594302,0.385921,0.993638,1.85505,2.72332,2.72177
