mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
mark3jac040.mtx,18289,18289,113435,0.0271292,0.0585126,0.0580005,0.0558565,0.0559525,0.0266402,0.0266884,0.026832
mark3jac040sc.mtx,18289,18289,113435,0.0276963,0.0582565,0.0580165,0.0556805,0.0556964,0.0267364,0.0269283,0.0270724
mark3jac060.mtx,27449,27449,170695,0.0315202,0.0712007,0.0652167,0.0637602,0.0590408,0.0317574,0.0315523,0.0316643
mark3jac060sc.mtx,27449,27449,170695,0.0316643,0.0713928,0.0649446,0.0637923,0.0584324,0.0317443,0.0315202,0.031218
mark3jac080.mtx,36609,36609,227955,0.0355844,0.0811688,0.077025,0.0691367,0.0695847,0.0369354,0.0360323,0.0360004
mark3jac080sc.mtx,36609,36609,227955,0.0358564,0.08178,0.0767051,0.069217,0.069665,0.0371684,0.0360803,0.0361284
mark3jac100.mtx,45769,45769,285215,0.0397124,0.0940009,0.0854567,0.0772648,0.0755207,0.041649,0.0405124,0.0402848
mark3jac100sc.mtx,45769,45769,285215,0.0398563,0.0939849,0.0848808,0.0775849,0.0755527,0.0415523,0.0407002,0.0404485
mark3jac120.mtx,54929,54929,342475,0.0437281,0.10288,0.0948898,0.079297,0.0851847,0.0470566,0.045504,0.045136
mark3jac120sc.mtx,54929,54929,342475,0.0441296,0.102641,0.094737,0.0800652,0.0851531,0.0467523,0.0452971,0.0449292
mark3jac140.mtx,64089,64089,399735,0.0485607,0.113393,0.102225,0.089233,0.094929,0.0520487,0.0502088,0.0506061
mark3jac140sc.mtx,64089,64089,399735,0.0480153,0.113169,0.102267,0.0893446,0.0949127,0.0520003,0.0499047,0.0498551
matrix_9.mtx,103430,103430,2121550,0.74247,0.286082,0.27783,0.206276,0.266997,0.905511,0.73119,0.734213
matrix-new_3.mtx,125329,125329,2678750,1.61637,0.340789,0.338404,0.406831,0.331364,2.01212,1.6792,1.67776
mbeacxc.mtx,496,496,49920,0.088993,0.0730568,0.0757017,0.229443,0.053553,0.0995212,0.0900331,0.0900811
mbeaflw.mtx,496,496,49920,0.090097,0.0749128,0.0737608,0.229938,0.0535525,0.0995531,0.089537,0.0900328
mbeause.mtx,496,496,41063,0.090481,0.0726248,0.0720488,0.258835,0.0535204,0.101361,0.092161,0.0914729
mc2depi.mtx,525825,525825,2100225,0.174994,0.376975,0.476485,0.241746,0.376442,0.20493,0.190911,0.190507
mcca.mtx,180,180,2659,0.0216002,0.0339523,0.0342405,0.0412963,0.0312004,0.020384,0.0211362,0.0211041
mcfe.mtx,765,765,24382,0.0263364,0.0389268,0.038957,0.052076,0.03899,0.0279202,0.0280965,0.0281762
md2010.mtx,145247,145247,700378,0.0827357,0.188849,0.171553,0.136257,0.146455,0.0921444,0.0872011,0.0878403
me2010.mtx,69518,69518,335476,0.0468647,0.110546,0.101474,0.086546,0.0873784,0.0512644,0.0488647,0.0488005
meg1.mtx,2904,2904,58142,0.0641645,0.055805,0.0573126,0.167074,0.05576,0.0808021,0.0664492,0.0667364
meg4.mtx,5860,5860,46842,0.158513,0.069281,0.0459042,0.0813767,0.059104,0.148369,0.159633,0.159777
memchip.mtx,2707524,2707524,14810202,0.991563,2.98432,2.50844,1.44488,2.09626,30.9287,1.10008,1.09988
memplus.mtx,17758,17758,126150,0.0889923,0.0668647,0.0688162,0.1176,0.0578563,0.081889,0.0882409,0.088305
mesh1e1.mtx,48,48,306,0.0159201,0.0340801,0.0316161,0.0269282,0.0268803,0.014,0.015412,0.0155378
mesh1em1.mtx,48,48,306,0.0156001,0.0343648,0.0314242,0.0270881,0.0269282,0.0145067,0.0145071,0.0145069
mesh1em6.mtx,48,48,306,0.01476,0.0339842,0.0316162,0.0271468,0.0270561,0.0141692,0.0164091,0.0145781
mesh2e1.mtx,306,306,2018,0.0155202,0.0380162,0.0355364,0.0297122,0.0308642,0.0146311,0.0146668,0.0148446
mesh2em5.mtx,306,306,2018,0.0156014,0.0380286,0.0353922,0.0296481,0.031072,0.0145957,0.0147378,0.01472
mesh3e1.mtx,289,289,1889,0.0151824,0.0383207,0.0346886,0.0290088,0.0303043,0.0142933,0.0145602,0.0144203
mesh3em5.mtx,289,289,1889,0.015147,0.0382406,0.0345924,0.0291044,0.0303205,0.0142046,0.0145247,0.0144358
mesh_deform.mtx,234023,9393,853829,0.0839376,0.171458,0.205778,0.119566,0.168785,0.0941766,0.0884806,0.0886049
mhd1280a.mtx,1280,1280,47906,0.0219041,0.0410244,0.0386564,0.0506405,0.0352803,0.0227734,0.0221922,0.0221923
mhd1280b.mtx,1280,1280,22778,0.0180979,0.0395005,0.0369044,0.0416484,0.0329923,0.0184001,0.0179736,0.0181157
mhd3200a.mtx,3200,3200,68026,0.0203362,0.0414722,0.0398566,0.0476,0.0348803,0.0208323,0.0209601,0.0205336
mhd3200b.mtx,3200,3200,18316,0.0168001,0.0422563,0.0387207,0.0325935,0.0342098,0.0153422,0.0152891,0.0153779
mhd4800a.mtx,4800,4800,102252,0.0219522,0.0446568,0.043451,0.050487,0.0426086,0.0220988,0.022353,0.022673
mhd4800b.mtx,4800,4800,27520,0.0177604,0.0436327,0.0409128,0.0342584,0.0354886,0.0161958,0.0162316,0.0162138
mhda416.mtx,416,416,8562,0.0188322,0.0368807,0.0337765,0.0413603,0.0310404,0.0193431,0.0191291,0.0193442
mhdb416.mtx,416,416,2312,0.0155024,0.0391355,0.035648,0.0314238,0.0312176,0.014418,0.014667,0.0147558
mi2010.mtx,329885,329885,1578090,0.15189,0.371909,0.333516,0.232547,0.273341,0.174127,0.163425,0.162787
mimo28x28_system.mtx,13251,13251,48737,0.0202316,0.0503688,0.0434567,0.041985,0.0402567,0.0211042,0.0213123,0.0213763
mimo46x46_system.mtx,13250,13250,48735,0.0201001,0.0499369,0.0433447,0.0413129,0.0403047,0.0209762,0.0211687,0.0211682
mimo8x8_system.mtx,13309,13309,48872,0.0203031,0.0504,0.0436486,0.0417764,0.0403686,0.0209613,0.0213602,0.0213697
minnesota.mtx,2642,2642,6606,0.0158757,0.043681,0.0390083,0.0290243,0.0357122,0.0141689,0.0142578,0.0142934
minsurfo.mtx,40806,40806,203622,0.0260622,0.0773606,0.0657286,0.0482245,0.0612806,0.0273246,0.0270523,0.0266133
mip1.mtx,66463,66463,10352819,8.44114,29.5144,29.5328,2.23899,2.5004,11.1353,8.68083,8.68334
MISKnowledgeMap.mtx,2427,2427,57022,0.0252324,0.0418919,0.0412996,0.0637606,0.0375202,0.0273444,0.0269283,0.0268964
mixtank_new.mtx,29957,29957,1995041,0.094577,0.365492,0.370996,0.171218,0.328932,0.099761,0.100593,0.100625
