mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
08blocks.mtx,300,300,592,0.020089,0.134784,0.071832,0.032768,0.047728,0.022241,0.069897,0.070665
1138_bus.mtx,1138,1138,4054,0.020126,0.223355,0.070535,0.221832,0.044807,0.030161,0.048697,0.048281
12month1.mtx,12471,872622,22624727,14.35361,103.786673,105.318015,13.965696,68.538515,12.319137,11.640533,11.62737
130bit.mtx,584,575,6120,0.019152,0.058136,0.056984,0.036176,0.03984,0.019133,0.044289,0.044401
145bit.mtx,1002,993,11315,0.02008,0.056936,0.223679,0.037376,0.041824,0.023841,0.046113,0.046128
162bit.mtx,3606,3597,37118,0.219579,0.225807,0.064782,0.042087,0.07791,0.23027,0.047073,0.047425
176bit.mtx,7441,7431,82270,0.042248,0.224479,0.224622,0.222297,0.225057,0.227943,0.229492,0.227915
192bit.mtx,13691,13682,154303,0.218409,0.224383,0.224147,0.221825,0.222895,0.222158,0.224724,0.221076
208bit.mtx,24430,24421,299756,0.220103,0.225159,0.225839,0.222917,0.415303,0.455517,0.459398,0.458907
2cubes_sphere.mtx,101492,101492,1647264,0.395046,0.688538,0.717674,0.496391,1.922755,0.397661,0.419327,0.46047
2D_27628_bjtcai.mtx,27628,27628,442898,0.221463,0.226451,0.226859,0.222931,0.527167,0.454436,0.225395,0.227342
2D_54019_highK.mtx,54019,54019,996414,0.382261,0.416126,0.416646,0.358149,1.099799,0.543705,0.330174,0.32999
333SP.mtx,3712815,3712815,22217266,12.896815,20.140554,19.041408,10.523446,36.298792,9.477911,21.2396,21.244928
3D_28984_Tetra.mtx,28984,28984,599170,0.637144,0.26617,0.273139,0.418648,0.676169,1.149435,0.858296,0.6191
3D_51448_3D.mtx,51448,51448,1056610,0.999222,0.428872,0.443353,0.648353,1.143868,1.810341,0.93748,0.933754
3Dspectralwave2.mtx,292008,292008,14322744,2.813024,4.366728,4.571218,3.75044,19.025326,8.685254,2.966542,2.946782
3Dspectralwave.mtx,680943,680943,33650589,6.592441,10.177745,10.724845,8.83894,45.270525,20.214729,6.694864,6.717532
