mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
08blocks.mtx,300,300,592,0.018976,0.073824,0.05104,0.222401,0.047088,0.019647,0.019684,0.221142
1138_bus.mtx,1138,1138,4054,0.01776,0.070201,0.056888,0.03248,0.044161,0.221141,0.017895,0.017929
12month1.mtx,12471,872622,22624727,12.476529,222.746878,222.777027,17.500204,34.399082,15.709532,8.510851,8.698942
130bit.mtx,584,575,6120,0.01701,0.049792,0.047191,0.03662,0.038312,0.016944,0.017095,0.017179
145bit.mtx,1002,993,11315,0.017693,0.04952,0.047612,0.037296,0.03972,0.264891,0.487983,0.239581
162bit.mtx,3606,3597,37118,0.01981,0.226691,0.052624,0.224218,0.054569,0.491087,0.515636,0.525497
176bit.mtx,7441,7431,82270,0.22089,0.061217,0.05904,0.044224,0.226535,0.222973,0.224051,0.222724
192bit.mtx,13691,13682,154303,0.03355,0.227293,0.227153,0.227137,,0.220974,0.220444,0.220529
208bit.mtx,24430,24421,299756,0.221471,0.224041,0.227095,0.223682,0.223506,0.22141,0.221114,0.22025
2cubes_sphere.mtx,101492,101492,1647264,0.226177,0.405753,0.439087,0.259644,0.981081,0.21858,0.220068,0.230047
2D_27628_bjtcai.mtx,27628,27628,442898,0.219761,0.222533,0.223463,0.221724,0.278121,0.221062,0.220731,0.22062
2D_54019_highK.mtx,54019,54019,996414,0.306672,0.262818,0.256622,0.264499,0.577097,0.263068,0.26058,0.26114
333SP.mtx,3712815,3712815,22217266,5.43312,11.816735,10.986562,5.572161,18.193535,5.077115,5.082153,5.080658
3D_28984_Tetra.mtx,28984,28984,599170,0.613851,0.221441,0.221121,0.220457,0.358722,0.492095,0.50417,0.505619
3D_51448_3D.mtx,51448,51448,1056610,0.96109,0.27759,0.289576,0.340441,0.598783,,0.797701,0.794309
3Dspectralwave2.mtx,292008,292008,14322744,1.624968,3.198583,3.269399,2.012254,9.675623,4.144307,1.679895,1.673954
3Dspectralwave.mtx,680943,680943,33650589,3.242328,7.245987,7.330317,4.290126,22.659334,9.61854,3.383458,3.413538
3dtube.mtx,45330,45330,3213618,0.461932,0.85549,1.081354,,2.097587,0.841434,0.46188,0.467406
3elt_dual.mtx,9000,9000,26556,0.219831,0.227211,0.225886,0.037784,0.066208,0.229106,0.2247,0.453187
3elt.mtx,4720,4720,27444,0.020522,0.066347,0.05712,0.035402,0.056096,0.019323,,0.228224
494_bus.mtx,494,494,1666,0.016227,0.06784,0.054779,0.031647,0.042416,0.016261,0.016548,0.016447
598a.mtx,110971,110971,1483868,0.287369,0.503405,0.490411,0.329762,1.041606,0.312897,0.315117,0.315321
662_bus.mtx,662,662,2474,0.016842,0.068504,0.054896,0.030528,0.22536,0.016565,0.016775,0.016889
685_bus.mtx,685,685,3249,0.016851,0.063864,0.225012,0.032424,0.041476,0.016825,0.016868,0.016969
a0nsdsil.mtx,80016,80016,355034,0.87422,0.65443,0.634124,0.28969,0.391749,1.156138,0.992825,0.994241
a2nnsnsl.mtx,80016,80016,347222,0.87094,0.613216,0.61282,0.289321,0.385184,1.157191,0.998187,0.999795
a5esindl.mtx,60008,60008,255004,1.595559,0.701419,0.710108,0.420906,0.291656,2.100663,1.730398,1.724146
aa01.mtx,823,8904,72965,0.06176,0.058336,0.06,0.167783,0.097048,0.058225,0.046681,0.048028
aa03.mtx,825,8627,70806,0.071472,0.227713,0.063072,0.199505,,0.068928,0.054793,0.054561
aa3.mtx,825,8627,70806,0.071368,0.062417,0.061098,0.216465,0.095944,0.068809,0.054706,0.054705
aa4.mtx,426,7195,52121,0.066656,0.05704,0.058488,0.210721,0.084848,0.061409,0.049089,0.049399
aa5.mtx,801,8308,65953,0.060009,0.062185,0.060299,0.164,0.09584,0.057561,0.047562,0.047334
aa6.mtx,646,7292,51728,0.059528,0.055016,0.056272,0.22318,0.085137,0.057377,0.045041,0.22185
ABACUS_shell_hd.mtx,23412,23412,218484,,,0.227201,0.223023,0.225807,0.223331,0.226257,0.223616
ABACUS_shell_ld.mtx,23412,23412,218484,,0.226241,0.225148,0.224401,0.224574,0.221199,0.224759,0.225606
ABACUS_shell_md.mtx,23412,23412,218484,0.221084,0.226369,0.226305,0.223728,0.225626,0.222698,0.222285,0.221991
ABACUS_shell_ud.mtx,23412,23412,218484,0.043814,0.228174,0.227869,0.223294,0.224369,0.227305,0.220221,0.22207
abb313.mtx,313,176,1557,0.016248,0.058824,0.224385,0.224445,0.039104,0.015503,0.015503,0.01547
abtaha1.mtx,14596,209,51307,0.222018,0.0829,0.22925,0.039803,0.228641,0.230069,0.227327,0.228729
abtaha2.mtx,37932,331,137228,0.226269,0.229715,0.230334,0.229281,0.230145,0.464778,0.459221,0.458961
adaptive.mtx,6815744,6815744,27248640,8.072531,14.9872,18.885576,7.468177,24.757292,6.37546,6.4497,6.458109
add20.mtx,2395,2395,17319,0.220221,0.069825,0.057272,0.07121,0.046664,0.033564,0.033483,0.033585
add32.mtx,4960,4960,23884,0.22152,0.225852,0.059648,0.039752,0.226068,0.224719,0.229218,0.021458
adder_dcop_01.mtx,1813,1813,11156,0.219913,0.225496,0.078392,0.062056,0.057592,0.205132,0.196316,0.206328
adder_dcop_02.mtx,1813,1813,11246,0.219202,0.225025,0.079613,0.062288,0.057624,0.217212,0.19555,0.195337
