mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
west1505.mtx,1505,1505,5445,0.024943939,0.016657005,0.02364523,0.041279083,0.01584959,0.02872146,0.031810388,0.034734183
west2021.mtx,2021,2021,7353,0.02399303,0.0166177,0.023821673,0.041044276,0.016231752,0.029096248,0.032175488,0.035150368
wheel_3_1.mtx,21,25,74,0.016651665,0.014485661,0.016118493,0.027575927,0.014585592,0.021049637,0.021139837,0.021010789
wheel_4_1.mtx,36,41,122,0.017029592,0.01462742,0.016380236,0.02867552,0.014526404,0.0214129,0.021725581,0.021621622
wheel_5_1.mtx,57,61,182,0.016755662,0.014522822,0.016399351,0.028132004,0.014742811,0.021518089,0.021637045,0.021619053
wheel_601.mtx,902103,723605,2170814,0.514142864,0.332994558,0.547456172,0.372460508,0.233648391,0.221733502,0.222618238,0.231939081
wheel_6_1.mtx,83,85,254,0.017298917,0.01482822,0.016545614,0.028600383,0.014660895,0.022107141,0.022311037,0.023147726
wheel_7_1.mtx,114,113,338,0.018140346,0.015405301,0.017626659,0.029004162,0.014854205,0.022433132,0.022919139,0.023890303
whitaker3_dual.mtx,19190,19190,57162,0.021118787,0.016057702,0.018165365,0.044225474,0.017567797,0.032260795,0.036590459,0.040539664
whitaker3.mtx,9800,9800,57978,0.025156245,0.015981919,0.024795143,0.04263756,0.017205469,0.031848686,0.034205794,0.036688772
wi2010.mtx,253096,253096,1209404,0.221991311,0.220026413,0.221520071,0.223768424,0.220633265,0.22355152,0.224214429,0.226633977
wikipedia-20051105.mtx,1634989,1634989,19753078,1.720448552,1.495056939,4.856461197,1.911911584,1.64450679,1.249912433,1.213717976,1.236495419
wikipedia-20060925.mtx,2983494,2983494,37269096,3.396991571,3.311569418,9.291838753,3.712828512,3.126891356,2.501845953,2.436582974,2.469195656
wikipedia-20061104.mtx,3148440,3148440,39383235,3.43838146,3.386177029,9.364633957,3.91562988,3.218242142,2.666410948,2.582514156,2.620629118
wikipedia-20070206.mtx,3566907,3566907,45030389,3.826888054,3.649348901,8.90142552,4.507673464,3.724810052,3.08831987,3.003928622,3.048289622
wiki-Talk.mtx,2394385,2394385,5021410,29.04773888,27.76176918,48.64340447,0.783978297,7.801521025,0.988294946,1.700623584,3.023427695
wiki-Vote.mtx,8297,8297,103689,0.147777438,0.079590507,0.453143608,0.043626922,0.120960178,0.073397022,0.044025364,0.04151523
will199.mtx,199,199,701,0.017654318,0.015399486,0.017440414,0.029243059,0.014712827,0.023853679,0.026126009,0.028311222
will57.mtx,57,57,281,0.017333909,0.015055319,0.018214228,0.028438417,0.01506864,0.021854948,0.021799845,0.021718967
windscreen.mtx,22692,22692,1482390,0.153104903,0.052940189,0.28111277,0.123853901,0.047370815,0.0709317,0.066568115,0.065132591
wing.mtx,62032,62032,243088,0.034330102,0.032748912,0.038643132,0.073616217,0.030728896,0.05069149,0.053694299,0.05735518
wing_nodal.mtx,10937,10937,150976,0.041805452,0.023654384,0.071550555,0.044871628,0.023659954,0.038279327,0.038968633,0.040106855
wm1.mtx,207,277,2909,0.03220521,0.022530651,0.063791062,0.033150808,0.035163427,0.030526901,0.026722518,0.027505543
