mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
lp_ship04l.mtx,402,2166,6380,0.047092864,0.02102994,0.063831597,0.035064675,0.037185663,0.029052625,0.026387407,0.026722233
lp_ship04s.mtx,402,1506,4400,0.040622072,0.019173951,0.048076923,0.035401505,0.026878682,0.028258384,0.027430823,0.027792077
lp_ship08l.mtx,778,4363,12882,0.050369108,0.019283825,0.075684758,0.036368924,0.036986897,0.03023085,0.027385146,0.027668982
lp_ship08s.mtx,778,2467,7194,0.042037602,0.018342565,0.051764333,0.035731226,0.025293447,0.02828475,0.028084284,0.028762827
lp_ship12l.mtx,1151,5533,16276,0.044618307,0.020143564,0.084317626,0.036168005,0.042151334,0.029779063,0.027503487,0.02806011
lp_ship12s.mtx,1151,2869,8284,0.038566288,0.022048715,0.048700335,0.036497331,0.024227287,0.027816159,0.028212472,0.030303695
lp_sierra.mtx,1227,2735,8001,0.02827783,0.016853578,0.026939258,0.036569062,0.01969489,0.026757094,0.028872438,0.031563936
lp_stair.mtx,356,614,4003,0.034573595,0.016376073,0.031541168,0.034704883,0.017730512,0.026292455,0.025849655,0.026642263
lp_standata.mtx,359,1274,3230,0.067874254,0.053464871,0.223630007,0.032006025,0.072352579,0.070851202,0.036595383,0.030813848
lp_standgub.mtx,361,1383,3339,0.070135271,0.0529836,0.225136538,0.031881526,0.072123641,0.070580029,0.036445201,0.030684685
lp_standmps.mtx,467,1274,3878,0.071786233,0.053885434,0.223638303,0.034918062,0.072488691,0.070528967,0.036457476,0.030724132
lp_stocfor1.mtx,117,165,501,0.018010569,0.01528954,0.017695052,0.028046801,0.015233751,0.02293221,0.022575703,0.023715976
lp_stocfor2.mtx,2157,3045,9357,0.027570093,0.015362577,0.02188603,0.039206813,0.016351759,0.029019082,0.030986471,0.033211
lp_stocfor3.mtx,16675,23541,76473,0.027676027,0.017092896,0.023135487,0.041548711,0.018356052,0.033320051,0.03549028,0.037983407
lp_truss.mtx,1000,8806,27836,0.054432357,0.016545382,0.102606067,0.036024773,0.023479358,0.027751026,0.027008382,0.026793763
lp_tuff.mtx,333,628,4561,0.038408098,0.022614249,0.060261339,0.03504795,0.043862939,0.030628211,0.026978428,0.028737225
lp_vtp_base.mtx,198,346,1051,0.023011659,0.017748881,0.025258048,0.028815441,0.017662381,0.025872043,0.02629505,0.027365872
lp_wood1p.mtx,244,2595,70216,0.210220621,0.068248432,1.178545952,0.033994954,0.214468761,0.09036942,0.042558775,0.034457934
lp_woodw.mtx,1098,8418,37487,0.113273454,0.046221386,0.601915558,0.036479296,0.069571818,0.089517453,0.042334824,0.034294899
lshp1009.mtx,1009,1009,6865,0.025223067,0.014748217,0.020791784,0.035448816,0.015140521,0.025474233,0.027232554,0.028462388
lshp1270.mtx,1270,1270,8668,0.024643097,0.014571569,0.020659788,0.035320556,0.015298662,0.025773571,0.027428557,0.02885001
