Matrix,row,col,nnz,Alphasparse_w_time_buf_s (ms),Alphasparse_w_time_anly_s (ms),Alphasparse_w_time_solv_s (ms),Alphasparse_w_time_totl_s (ms),Alphasparse_wo_time_buf_s (ms),Alphasparse_wo_time_anly_s (ms),Alphasparse_wo_time_solv_s (ms),Alphasparse_wo_time_totl_s (ms),cusparse_time_buf_s (ms),cusparse_time_anly_s (ms),cusparse_time_solv_s (ms),cusparse_time_totl_s (ms),Alphasparse_w_time_buf_d (ms),Alphasparse_w_time_anly_d (ms),Alphasparse_w_time_solv_d(ms),Alphasparse_w_time_totl_d (ms),Alphasparse_wo_time_buf_d (ms),Alphasparse_wo_time_anly_d (ms),Alphasparse_wo_time_solv_d (ms),Alphasparse_wo_time_totl_d (ms),cusparse_time_buf_d (ms),cusparse_time_anly_d (ms),cusparse_time_solv_d (ms),cusparse_time_totl_d (ms)
aft02.mtx,8184,8184,127762,0.007168,19.2338,0.709149,19.9501,0.002528,0.007392,1.07411,1.08403,0.005696,25.9452,0.833818,26.7847,0.008384,20.6778,0.765334,21.4515,0.002496,0.00736,1.14931,1.15917,0.005408,25.5064,0.884781,26.3966
airfoil1_dual.mtx,8034,8034,31660,0.006176,19.5712,0.774419,20.3518,0.003872,0.007232,1.43675,1.44785,0.005984,25.8088,1.18597,27.0008,0.00864,20.6978,0.960528,21.667,0.003584,0.007104,1.34962,1.36031,0.006336,25.3282,1.05365,26.3882
airfoil1.mtx,4253,4253,28831,0.00624,19.4403,0.847251,20.2938,0.003168,0.010208,1.51557,1.52895,0.005344,26.7829,1.27048,28.0588,0.007392,20.0948,1.05685,21.159,0.002592,0.007328,1.17612,1.18604,0.006528,25.6769,1.08331,26.7667
airfoil_2d.mtx,14214,14214,259688,0.007168,22.0166,3.10222,25.126,0.003072,0.006944,4.9289,4.93891,0.005792,34.9475,3.24218,38.1955,0.008992,22.8712,3.29137,26.1716,0.00288,0.00752,4.29372,4.30411,0.00608,32.674,3.11786,35.798
ak2010.mtx,45292,45292,262390,0.007904,19.1206,0.149021,19.2776,0.00336,0.007008,0.298195,0.308563,0.006016,23.2113,0.0651698,23.2825,0.010752,19.9121,0.141488,20.0644,0.002848,0.008576,0.224723,0.236147,0.006784,23.188,0.06284,23.2576
al2010.mtx,252266,252266,1482748,2.13168,19.3141,0.576179,22.022,0.004224,0.007488,0.250451,0.262163,0.002912,23.2048,0.0820704,23.2898,0.212448,20.8281,0.734704,21.7753,0.003712,0.007872,0.229853,0.241437,0.002656,22.4113,0.0882784,22.5022
Alemdar.mtx,6245,6245,42581,0.006368,19.1238,0.041008,19.1712,0.00368,0.006976,0.0823712,0.0930272,0.005984,22.8949,0.0475776,22.9485,0.008,20.2345,0.0451552,20.2877,0.003072,0.008352,0.0574208,0.0688448,0.005568,22.5932,0.0530624,22.6518
amazon0302.mtx,262111,262111,1496988,0.092288,19.132,1.07008,20.2944,0.003584,0.009216,0.321645,0.334445,0.003104,23.4588,0.138262,23.6001,0.13488,19.7146,0.790858,20.6403,0.002752,0.009856,0.240426,0.253034,0.002688,23.2145,0.134096,23.3513
amazon0312.mtx,400727,400727,3601167,0.1216,19.6962,1.73677,21.5546,0.004224,0.008032,0.800275,0.812531,0.004992,27.5755,0.346048,27.9266,0.152512,20.2682,2.11633,22.5371,0.002688,0.00816,0.47983,0.490678,0.00336,25.6748,0.270781,25.9489
amazon0505.mtx,410236,410236,3767060,0.114304,20.7277,1.67793,22.5199,0.004448,0.00784,1.55491,1.5672,0.00448,30.4068,0.472224,30.8835,0.180576,21.7783,1.95497,23.9138,0.00288,0.008672,0.967872,0.979424,0.003936,29.0068,0.436762,29.4475
amazon0601.mtx,403394,403394,3790782,2.08381,20.1813,1.59753,23.8627,0.003392,0.008352,0.954461,0.966205,0.006368,27.8234,0.34009,28.1699,0.15312,20.4721,2.13298,22.7582,0.004,0.014048,1.18617,1.20422,0.003744,27.9395,0.34961,28.2928
amazon-2008.mtx,735323,735323,5893711,0.145184,21.8214,2.93072,24.8973,0.003616,0.008608,2.72502,2.73724,0.00448,33.4784,1.99775,35.4806,0.196928,18.3825,3.08046,21.6599,0.00368,0.021792,3.17544,3.20092,0.006912,32.1596,1.91791,34.0845
Andrews.mtx,60000,60000,760154,0.161728,19.1348,0.203424,19.5,0.003488,0.008128,0.224,0.235616,0.005792,25.9168,0.12712,26.0497,0.003936,16.3394,0.207424,16.5507,0.003648,0.007072,0.24104,0.25176,0.006368,22.6002,0.110234,22.7168
apache1.mtx,80800,80800,542184,0.175648,19.7851,0.410374,20.3711,0.003008,0.007104,0.711898,0.72201,0.00592,23.932,0.52279,24.4607,0.0032,20.4097,0.443968,20.8568,0.0032,0.00768,0.783379,0.794259,0.00304,23.0814,0.541683,23.6261
apache2.mtx,715176,715176,4817870,0.14432,50.9886,3.59048,54.7234,0.003296,0.00928,3.36675,3.37933,0.00448,28.6506,2.24955,30.9047,0.210848,52.0107,3.78896,56.0105,0.004416,0.008192,5.10043,5.11304,0.00736,27.5902,2.02044,29.618
appu.mtx,14000,14000,1853104,0.006912,25.0464,0.78304,25.8363,0.003456,0.008192,1.51967,1.53132,0.005376,30.8772,0.724826,31.6074,0.008448,20.3877,0.822006,21.2181,0.00448,0.007776,2.01927,2.03153,0.007072,29.3949,0.662083,30.064
ar2010.mtx,186211,186211,1090521,0.103168,19.5852,0.579277,20.2677,0.003616,0.007232,0.154736,0.165584,0.003552,22.6306,0.100378,22.7346,0.141472,21.5804,0.581059,22.3029,0.003712,0.008544,0.160106,0.172362,0.006496,22.3638,0.078688,22.449
arc130.mtx,130,130,1282,0.006048,18.9806,0.0361568,19.0228,0.002816,0.00672,0.0353184,0.0448544,0.00576,26.4291,0.0258368,26.4607,0.007008,16.9606,0.0411872,17.0088,0.003264,0.006688,0.051208,0.06116,0.006304,22.9914,0.0247808,23.0225
as-22july06.mtx,22963,22963,119835,0.006656,19.1402,0.138925,19.2858,0.003072,0.006752,0.190125,0.199949,0.006752,27.2199,0.18545,27.4121,0.008352,19.7518,0.153987,19.9141,0.003232,0.007456,0.193792,0.20448,0.007232,26.1349,0.177486,26.3196
AS365.mtx,3799275,3799275,26535427,0.192992,77.2938,48.4448,125.932,0.004448,0.009024,51.7181,51.7316,0.00688,247.143,37.4229,284.573,0.230752,66.345,53.1617,119.737,0.003936,0.008736,56.3448,56.3575,0.003968,209.85,43.4126,253.266
as-735.mtx,7716,7716,32860,0.006688,18.9038,0.0590304,18.9695,0.002464,0.00816,0.129629,0.140253,0.005408,23.483,0.074156,23.5626,0.007136,16.6718,0.0626304,16.7416,0.002976,0.011168,0.136115,0.150259,0.005056,24.0239,0.0822208,24.1112
