filename,cow,col,nnz,alpha_mv_time_gather4[ms],mkl_mv_time_gather4[ms],alpha_mv_time_plain[ms],mkl_mv_time_plain[ms],alpha_mv_time_shuffle[ms],mkl_mv_time_shuffle[ms],alpha_mv_time_sse[ms],mkl_mv_time_sse[ms],alpha_mv_time_vgather[ms],mkl_mv_time_vgather[ms]
apache2.mtx,715176,715176,4817870,8.577842,6.016868,5.607897,6.579202,6.035414,6.066455,8.255673,8.462335,8.912123,5.980398
appu.mtx,14000,14000,1853104,3.421157,2.324501,1.584156,1.751755,1.458866,1.593862,2.766441,2.694979,3.455132,1.707776
ar2010.mtx,186212,186212,904310,4.2243,2.898019,3.153851,2.783857,3.184523,2.808131,4.112226,3.702873,4.161967,2.7843
arc130.mtx,132,132,1282,0.003598,0.001865,0.002429,0.001775,0.002432,0.001754,0.002244,0.001671,0.003687,0.00175
as-22july06.mtx,22964,22964,96872,0.347639,0.276173,0.282844,0.279537,0.268907,0.36467,0.25602,0.278651,0.345544,0.277689
AS365.mtx,3799276,3799276,22736152,247.55165,208.890874,248.184805,183.594841,261.657451,313.464685,154.79822,232.515063,321.278843,155.362441
as-735.mtx,7716,7716,26467,0.102003,0.081572,0.084615,0.082592,0.077182,0.080658,0.085954,0.080532,0.100107,0.081734
as-caida.mtx,31380,31380,106762,0.471497,0.400639,0.403403,0.39058,0.392536,0.396503,0.409509,0.390954,0.470364,0.3899
ash219.mtx,220,88,438,0.001859,0.001173,0.001966,0.001406,0.001833,0.001587,0.001738,0.001059,0.001785,0.001214
ash292.mtx,292,292,2208,0.00532,0.002957,0.003548,0.007311,0.003596,0.004365,0.003419,0.002916,0.005515,0.002983
ash331.mtx,332,104,662,0.002209,0.001486,0.00237,0.001587,0.002112,0.001499,0.002087,0.001418,0.002118,0.002059
ash608.mtx,608,188,1216,0.003043,0.002303,0.003399,0.002227,0.002931,0.003219,0.002928,0.002167,0.002994,0.003201
ash85.mtx,88,88,523,0.002098,0.001328,0.001806,0.001296,0.001827,0.001585,0.001844,0.001202,0.002237,0.001618
ash958.mtx,960,292,1916,0.004218,0.00471,0.010447,0.003382,0.003988,0.003304,0.004028,0.003187,0.004044,0.004751
asia_osm.mtx,11950760,11950760,25423206,105.82284,149.475646,216.7424,167.503939,99.108014,185.047241,176.739183,187.103533,155.055138,124.39621
ASIC_100k.mtx,99340,99340,954163,2.12375,1.319909,1.295795,1.235052,1.247666,1.233685,1.971231,1.794839,2.146295,1.227381
ASIC_100ks.mtx,99192,99192,578890,1.704583,1.174222,1.140761,1.214174,1.15671,1.168994,1.510204,1.424043,1.761718,1.174216
ASIC_320k.mtx,321824,321824,2635364,6.030033,4.14971,3.410346,3.955441,3.477228,3.783756,6.83024,6.521969,6.183119,3.764695
ASIC_320ks.mtx,321672,321672,1827807,4.902265,4.38347,3.718231,4.414625,3.346229,4.194398,4.698498,5.614541,4.917272,4.244866
ASIC_680k.mtx,682864,682864,3871773,8.113755,6.419698,5.203077,8.099835,5.580293,6.644442,9.209467,10.004531,8.173874,6.962597
ASIC_680ks.mtx,682712,682712,2329176,6.698225,5.260941,5.015008,6.019552,4.69988,5.229988,7.808746,8.029841,6.456226,5.336966
as-Skitter.mtx,1696416,1696416,22190596,89.952591,52.754648,49.787712,64.842817,53.109687,72.495853,114.378647,113.954556,92.863783,59.15118
astro-ph.mtx,16708,16708,242502,0.663138,0.394714,0.418412,0.396768,0.407503,0.39345,0.377808,0.410137,0.662923,0.398834
atmosmodd.mtx,1270432,1270432,8814880,15.423118,12.493518,10.282197,11.275268,11.200884,10.920437,15.425042,13.264093,16.350618,11.053209
atmosmodj.mtx,1270432,1270432,8814880,15.441461,12.079446,10.259407,12.605671,11.168744,11.888628,10.895372,11.118207,16.245395,11.537102
atmosmodl.mtx,1489752,1489752,10319760,18.808435,14.147763,12.111365,14.043995,13.000727,13.722296,12.652487,16.634403,19.127667,12.778626
atmosmodm.mtx,1489752,1489752,10319760,18.094792,12.80702,12.46442,13.737879,12.841293,13.118847,13.099085,17.717307,18.95247,13.760484
aug2dc.mtx,30200,30200,80000,0.17127,0.106096,0.134192,0.100482,0.123448,0.102669,0.121039,0.100295,0.170571,0.100271
aug2d.mtx,29008,29008,76832,0.161536,0.098749,0.12875,0.099256,0.118627,0.099379,0.116574,0.096834,0.165478,0.099373
aug3dcqp.mtx,35544,35544,128115,0.201325,0.157028,0.177362,0.152578,0.163521,0.152834,0.162396,0.151612,0.200107,0.154306
aug3d.mtx,24300,24300,69984,0.134524,0.093089,0.113716,0.095311,0.106805,0.090267,0.104365,0.089771,0.134006,0.422878
auto.mtx,448696,448696,6629222,17.812232,17.181657,11.562236,12.751848,15.220853,16.069706,13.618236,18.724048,18.276735,13.766001
av41092.mtx,41092,41092,1683902,3.234924,1.552411,1.496574,1.906783,1.387955,1.493592,1.43223,3.014906,3.255657,1.975134
az2010.mtx,241668,241668,1196094,5.506874,3.787499,4.273571,3.647102,4.300182,3.553963,4.936361,4.220548,5.591433,3.62587
b1_ss.mtx,8,8,15,0.00114,0.000539,0.001235,0.00061,0.002553,0.000554,0.00108,0.000523,0.001362,0.000635
b2_ss.mtx,1092,1092,4228,0.0098,0.009277,0.007151,0.008196,0.006972,0.008174,0.006722,0.005834,0.009358,0.005961
barrier2-10.mtx,115628,115628,3897557,8.548821,3.957067,3.985112,4.167469,3.67872,3.946019,6.29922,6.768127,8.366524,4.032539
barrier2-11.mtx,115628,115628,3897557,8.074512,3.822722,3.946985,3.843199,3.804187,3.929565,6.391237,6.256362,8.256776,4.258549
